name,age,nationality,position,club,market_value,profile_url,matches,goals,assists,minutes_played,competition_stats
Georgiy Sudakov,Georgiy Sudakov,Unknown,Georgiy SudakovAttacking Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/georgiy-sudakov/profil/spieler/623325,,€35.00m,21,9,{}
Malo Gusto,Malo Gusto,Unknown,Malo GustoRight-Back,Unknown club,€35.00m,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322,,€35.00m,11,0,{}
Jean-Clair Todibo,Jean-Clair Todibo,Unknown,Jean-Clair TodiboCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,,€35.00m,10,0,{}
Rayan Aït-Nouri,Rayan Aït-Nouri,Unknown,Rayan Aït-NouriLeft-Back,Unknown club,€35.00m,https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391,,€35.00m,12,3,{}
Harvey Elliott,Harvey Elliott,Unknown,Harvey ElliottCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/harvey-elliott/profil/spieler/565822,,€35.00m,1,0,{}
Cheick Doucouré,Cheick Doucouré,Unknown,Cheick DoucouréDefensive Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/cheick-doucoure/profil/spieler/543387,,€35.00m,6,0,{}
Mason Greenwood,Mason Greenwood,Unknown,Mason GreenwoodRight Winger,Unknown club,€35.00m,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,,€35.00m,11,8,{}
Noni Madueke,Noni Madueke,Unknown,Noni MaduekeRight Winger,Unknown club,€35.00m,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,,€35.00m,16,5,{}
Tino Livramento,Tino Livramento,Unknown,Tino LivramentoRight-Back,Unknown club,€35.00m,https://www.transfermarkt.com/tino-livramento/profil/spieler/503981,,€35.00m,14,0,{}
Karim Adeyemi,Karim Adeyemi,Unknown,Karim AdeyemiLeft Winger,Unknown club,€35.00m,https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094,,€35.00m,8,5,{}
Nico González,Nico González,Unknown,Nico GonzálezRight Winger,Unknown club,€35.00m,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/486031,,€35.00m,6,1,{}
Brian Brobbey,Brian Brobbey,Unknown,Brian BrobbeyCentre-Forward,Unknown club,€35.00m,https://www.transfermarkt.com/brian-brobbey/profil/spieler/473169,,€35.00m,20,2,{}
Reece James,Reece James,Unknown,Reece JamesRight-Back,Unknown club,€35.00m,https://www.transfermarkt.com/reece-james/profil/spieler/472423,,€35.00m,4,0,{}
Khéphren Thuram,Khéphren Thuram,Unknown,Khéphren ThuramCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/khephren-thuram/profil/spieler/463618,,€35.00m,13,0,{}
Curtis Jones,Curtis Jones,Unknown,Curtis JonesCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/curtis-jones/profil/spieler/433188,,€35.00m,13,1,{}
Quinten Timber,Quinten Timber,Unknown,Quinten TimberCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/quinten-timber/profil/spieler/420213,,€35.00m,20,4,{}
Ezri Konsa,Ezri Konsa,Unknown,Ezri KonsaCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/ezri-konsa/profil/spieler/413403,,€35.00m,15,1,{}
Yves Bissouma,Yves Bissouma,Unknown,Yves BissoumaDefensive Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425,,€35.00m,12,2,{}
Joey Veerman,Joey Veerman,Unknown,Joey VeermanCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/joey-veerman/profil/spieler/408574,,€35.00m,9,1,{}
Dávid Hancko,Dávid Hancko,Unknown,Dávid HanckoCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/david-hancko/profil/spieler/404418,,€35.00m,21,1,{}
Edson Álvarez,Edson Álvarez,Unknown,Edson ÁlvarezDefensive Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/edson-alvarez/profil/spieler/401356,,€35.00m,11,0,{}
Harvey Barnes,Harvey Barnes,Unknown,Harvey BarnesLeft Winger,Unknown club,€35.00m,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065,,€35.00m,13,4,{}
Davide Frattesi,Davide Frattesi,Unknown,Davide FrattesiCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/davide-frattesi/profil/spieler/394300,,€35.00m,19,6,{}
Alessandro Buongiorno,Alessandro Buongiorno,Unknown,Alessandro BuongiornoCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/alessandro-buongiorno/profil/spieler/386446,,€35.00m,15,1,{}
Axel Disasi,Axel Disasi,Unknown,Axel DisasiCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,,€35.00m,9,1,{}
Richarlison,Richarlison,Unknown,RicharlisonCentre-Forward,Unknown club,€35.00m,https://www.transfermarkt.com/richarlison/profil/spieler/378710,,€35.00m,7,1,{}
Nayef Aguerd,Nayef Aguerd,Unknown,Nayef AguerdCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/nayef-aguerd/profil/spieler/361914,,€35.00m,12,0,{}
Rodrigo Bentancur,Rodrigo Bentancur,Unknown,Rodrigo BentancurDefensive Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362,,€35.00m,15,1,{}
Fabián Ruiz,Fabián Ruiz,Unknown,Fabián RuizCentral Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,,€35.00m,18,3,{}
Jerdy Schouten,Jerdy Schouten,Unknown,Jerdy SchoutenDefensive Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/jerdy-schouten/profil/spieler/347900,,€35.00m,12,2,{}
Mason Mount,Mason Mount,Unknown,Mason MountAttacking Midfield,Unknown club,€35.00m,https://www.transfermarkt.com/mason-mount/profil/spieler/346483,,€35.00m,6,0,{}
Artem Dovbyk,Artem Dovbyk,Unknown,Artem DovbykCentre-Forward,Unknown club,€35.00m,https://www.transfermarkt.com/artem-dovbyk/profil/spieler/343537,,€35.00m,17,7,{}
Takehiro Tomiyasu,Takehiro Tomiyasu,Unknown,Takehiro TomiyasuRight-Back,Unknown club,€35.00m,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,,€35.00m,1,0,{}
Gianluca Scamacca,Gianluca Scamacca,Unknown,Gianluca ScamaccaCentre-Forward,Unknown club,€35.00m,https://www.transfermarkt.com/gianluca-scamacca/profil/spieler/315867,,€35.00m,0,0,{}
Guglielmo Vicario,Guglielmo Vicario,Unknown,Guglielmo VicarioGoalkeeper,Unknown club,€35.00m,https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047,,€35.00m,15,0,{}
David Raya,David Raya,Unknown,David RayaGoalkeeper,Unknown club,€35.00m,https://www.transfermarkt.com/david-raya/profil/spieler/262749,,€35.00m,19,0,{}
Joachim Andersen,Joachim Andersen,Unknown,Joachim AndersenCentre-Back,Unknown club,€35.00m,https://www.transfermarkt.com/joachim-andersen/profil/spieler/260827,,€35.00m,11,0,{}
Ederson,Ederson,Unknown,EdersonGoalkeeper,Unknown club,€35.00m,https://www.transfermarkt.com/ederson/profil/spieler/238223,,€35.00m,14,0,{}
André Onana,André Onana,Unknown,André OnanaGoalkeeper,Unknown club,€35.00m,https://www.transfermarkt.com/andre-onana/profil/spieler/234509,,€35.00m,16,0,{}
Oleksandr Zinchenko,Oleksandr Zinchenko,Unknown,Oleksandr ZinchenkoLeft-Back,Unknown club,€35.00m,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,,€35.00m,7,0,{}
Leandro Trossard,Leandro Trossard,Unknown,Leandro TrossardLeft Winger,Unknown club,€35.00m,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,,€35.00m,17,3,{}
Raheem Sterling,Raheem Sterling,Unknown,Raheem SterlingLeft Winger,Unknown club,€35.00m,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,,€35.00m,8,1,{}
Charles De Ketelaere,Charles De Ketelaere,Unknown,Charles De KetelaereAttacking Midfield,Unknown club,€34.00m,https://www.transfermarkt.com/charles-de-ketelaere/profil/spieler/435772,,€34.00m,20,2,{}
Ilya Zabarnyi,Ilya Zabarnyi,Unknown,Ilya ZabarnyiCentre-Back,Unknown club,€32.00m,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,,€32.00m,15,0,{}
Jacob Ramsey,Jacob Ramsey,Unknown,Jacob RamseyAttacking Midfield,Unknown club,€32.00m,https://www.transfermarkt.com/jacob-ramsey/profil/spieler/503749,,€32.00m,16,1,{}
Pedro Gonçalves,Pedro Gonçalves,Unknown,Pedro GonçalvesLeft Winger,Unknown club,€32.00m,https://www.transfermarkt.com/pedro-goncalves/profil/spieler/426620,,€32.00m,13,5,{}
Lutsharel Geertruida,Lutsharel Geertruida,Unknown,Lutsharel GeertruidaRight-Back,Unknown club,€32.00m,https://www.transfermarkt.com/lutsharel-geertruida/profil/spieler/420210,,€32.00m,19,1,{}
Scott McTominay,Scott McTominay,Unknown,Scott McTominayCentral Midfield,Unknown club,€32.00m,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969,,€32.00m,17,5,{}
Fikayo Tomori,Fikayo Tomori,Unknown,Fikayo TomoriCentre-Back,Unknown club,€32.00m,https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254,,€32.00m,12,0,{}
Rúben Neves,Rúben Neves,Unknown,Rúben NevesDefensive Midfield,Unknown club,€32.00m,https://www.transfermarkt.com/ruben-neves/profil/spieler/225161,,€32.00m,14,0,{}
Vitor Roque,Vitor Roque,Unknown,Vitor RoqueCentre-Forward,Unknown club,€30.00m,https://www.transfermarkt.com/vitor-roque/profil/spieler/943837,,€30.00m,15,5,{}
Jorrel Hato,Jorrel Hato,Unknown,Jorrel HatoLeft-Back,Unknown club,€30.00m,https://www.transfermarkt.com/jorrel-hato/profil/spieler/904802,,€30.00m,22,3,{}
Lucas Beraldo,Lucas Beraldo,Unknown,Lucas BeraldoCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,,€30.00m,9,0,{}
Pablo Barrios,Pablo Barrios,Unknown,Pablo BarriosCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605,,€30.00m,9,0,{}
Maghnes Akliouche,Maghnes Akliouche,Unknown,Maghnes AklioucheRight Winger,Unknown club,€30.00m,https://www.transfermarkt.com/maghnes-akliouche/profil/spieler/745200,,€30.00m,14,2,{}
Adam Wharton,Adam Wharton,Unknown,Adam WhartonDefensive Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/adam-wharton/profil/spieler/744149,,€30.00m,10,0,{}
Hugo Ekitiké,Hugo Ekitiké,Unknown,Hugo EkitikéCentre-Forward,Unknown club,€30.00m,https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726,,€30.00m,15,9,{}
Samuel Lino,Samuel Lino,Unknown,Samuel LinoLeft Winger,Unknown club,€30.00m,https://www.transfermarkt.com/samuel-lino/profil/spieler/694928,,€30.00m,14,0,{}
Elye Wahi,Elye Wahi,Unknown,Elye WahiCentre-Forward,Unknown club,€30.00m,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542,,€30.00m,9,2,{}
Simon Adingra,Simon Adingra,Unknown,Simon AdingraRight Winger,Unknown club,€30.00m,https://www.transfermarkt.com/simon-adingra/profil/spieler/658536,,€30.00m,10,4,{}
Bilal El Khannouss,Bilal El Khannouss,Unknown,Bilal El KhannoussAttacking Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/654982,,€30.00m,10,1,{}
Cristhian Mosquera,Cristhian Mosquera,Unknown,Cristhian MosqueraCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750,,€30.00m,11,0,{}
Odilon Kossounou,Odilon Kossounou,Unknown,Odilon KossounouCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/odilon-kossounou/profil/spieler/644771,,€30.00m,7,0,{}
Maximilian Beier,Maximilian Beier,Unknown,Maximilian BeierCentre-Forward,Unknown club,€30.00m,https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392,,€30.00m,16,1,{}
Youssouf Fofana,Youssouf Fofana,Unknown,Youssouf FofanaDefensive Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/youssouf-fofana/profil/spieler/569598,,€30.00m,18,1,{}
Yéremy Pino,Yéremy Pino,Unknown,Yéremy PinoRight Winger,Unknown club,€30.00m,https://www.transfermarkt.com/yeremy-pino/profil/spieler/568157,,€30.00m,12,0,{}
Mykhaylo Mudryk,Mykhaylo Mudryk,Unknown,Mykhaylo MudrykLeft Winger,Unknown club,€30.00m,https://www.transfermarkt.com/mykhaylo-mudryk/profil/spieler/537860,,€30.00m,17,3,{}
Amine Adli,Amine Adli,Unknown,Amine AdliLeft Winger,Unknown club,€30.00m,https://www.transfermarkt.com/amine-adli/profil/spieler/532776,,€30.00m,12,0,{}
Dani Vivian,Dani Vivian,Unknown,Dani VivianCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/dani-vivian/profil/spieler/524000,,€30.00m,18,2,{}
Pepê,Pepê,Unknown,PepêLeft Winger,Unknown club,€30.00m,https://www.transfermarkt.com/pepe/profil/spieler/520662,,€30.00m,15,4,{}
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,Unknown,Kiernan Dewsbury-HallCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/kiernan-dewsbury-hall/profil/spieler/475188,,€30.00m,10,1,{}
Benoît Badiashile,Benoît Badiashile,Unknown,Benoît BadiashileCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,,€30.00m,8,0,{}
João Félix,João Félix,Unknown,João FélixSecond Striker,Unknown club,€30.00m,https://www.transfermarkt.com/joao-felix/profil/spieler/462250,,€30.00m,12,5,{}
Tijjani Reijnders,Tijjani Reijnders,Unknown,Tijjani ReijndersCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/tijjani-reijnders/profil/spieler/460939,,€30.00m,18,6,{}
Andrea Cambiaso,Andrea Cambiaso,Unknown,Andrea CambiasoLeft-Back,Unknown club,€30.00m,https://www.transfermarkt.com/andrea-cambiaso/profil/spieler/459658,,€30.00m,20,2,{}
Jakub Kiwior,Jakub Kiwior,Unknown,Jakub KiwiorCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918,,€30.00m,10,0,{}
Mats Wieffer,Mats Wieffer,Unknown,Mats WiefferDefensive Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/mats-wieffer/profil/spieler/415381,,€30.00m,10,0,{}
Jadon Sancho,Jadon Sancho,Unknown,Jadon SanchoLeft Winger,Unknown club,€30.00m,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173,,€30.00m,6,0,{}
Ferran Torres,Ferran Torres,Unknown,Ferran TorresRight Winger,Unknown club,€30.00m,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,,€30.00m,12,2,{}
Ibrahim Sangaré,Ibrahim Sangaré,Unknown,Ibrahim SangaréDefensive Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885,,€30.00m,4,0,{}
Ferdi Kadıoğlu,Ferdi Kadıoğlu,Unknown,Ferdi KadıoğluLeft-Back,Unknown club,€30.00m,https://www.transfermarkt.com/ferdi-kadioglu/profil/spieler/369316,,€30.00m,15,3,{}
Hiroki Ito,Hiroki Ito,Unknown,Hiroki ItoCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/hiroki-ito/profil/spieler/353892,,€30.00m,0,0,{}
Pervis Estupiñán,Pervis Estupiñán,Unknown,Pervis EstupiñánLeft-Back,Unknown club,€30.00m,https://www.transfermarkt.com/pervis-estupinan/profil/spieler/349599,,€30.00m,11,0,{}
Federico Chiesa,Federico Chiesa,Unknown,Federico ChiesaRight Winger,Unknown club,€30.00m,https://www.transfermarkt.com/federico-chiesa/profil/spieler/341092,,€30.00m,3,0,{}
Noussair Mazraoui,Noussair Mazraoui,Unknown,Noussair MazraouiRight-Back,Unknown club,€30.00m,https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456,,€30.00m,17,0,{}
Joe Willock,Joe Willock,Unknown,Joe WillockCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/joe-willock/profil/spieler/340329,,€30.00m,12,1,{}
Eddie Nketiah,Eddie Nketiah,Unknown,Eddie NketiahCentre-Forward,Unknown club,€30.00m,https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324,,€30.00m,9,1,{}
Albert Gudmundsson,Albert Gudmundsson,Unknown,Albert GudmundssonSecond Striker,Unknown club,€30.00m,https://www.transfermarkt.com/albert-gudmundsson/profil/spieler/305947,,€30.00m,5,3,{}
Marc Cucurella,Marc Cucurella,Unknown,Marc CucurellaLeft-Back,Unknown club,€30.00m,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,,€30.00m,14,0,{}
Tomas Soucek,Tomas Soucek,Unknown,Tomas SoucekDefensive Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/tomas-soucek/profil/spieler/283628,,€30.00m,16,3,{}
Marcos Llorente,Marcos Llorente,Unknown,Marcos LlorenteRight Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,,€30.00m,10,2,{}
Sergej Milinković-Savić,Sergej Milinković-Savić,Unknown,Sergej Milinković-SavićCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/sergej-milinkovic-savic/profil/spieler/266302,,€30.00m,18,6,{}
Viktor Tsygankov,Viktor Tsygankov,Unknown,Viktor TsygankovRight Winger,Unknown club,€30.00m,https://www.transfermarkt.com/viktor-tsygankov/profil/spieler/264372,,€30.00m,10,1,{}
Aleksandr Golovin,Aleksandr Golovin,Unknown,Aleksandr GolovinAttacking Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918,,€30.00m,12,0,{}
Unai Simón,Unai Simón,Unknown,Unai SimónGoalkeeper,Unknown club,€30.00m,https://www.transfermarkt.com/unai-simon/profil/spieler/262396,,€30.00m,0,0,{}
Rodrigo De Paul,Rodrigo De Paul,Unknown,Rodrigo De PaulCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901,,€30.00m,16,0,{}
Youri Tielemans,Youri Tielemans,Unknown,Youri TielemansCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/youri-tielemans/profil/spieler/249565,,€30.00m,19,2,{}
Andrew Robertson,Andrew Robertson,Unknown,Andrew RobertsonLeft-Back,Unknown club,€30.00m,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,,€30.00m,19,0,{}
Konrad Laimer,Konrad Laimer,Unknown,Konrad LaimerCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967,,€30.00m,16,1,{}
Andreas Christensen,Andreas Christensen,Unknown,Andreas ChristensenCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,,€30.00m,1,0,{}
Jonathan Tah,Jonathan Tah,Unknown,Jonathan TahCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357,,€30.00m,20,1,{}
John McGinn,John McGinn,Unknown,John McGinnCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,,€30.00m,15,1,{}
Adrien Rabiot,Adrien Rabiot,Unknown,Adrien RabiotCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913,,€30.00m,6,0,{}
Virgil van Dijk,Virgil van Dijk,Unknown,Virgil van DijkCentre-Back,Unknown club,€30.00m,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,,€30.00m,18,2,{}
Romelu Lukaku,Romelu Lukaku,Unknown,Romelu LukakuCentre-Forward,Unknown club,€30.00m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,,€30.00m,11,4,{}
Neymar,Neymar,Unknown,NeymarLeft Winger,Unknown club,€30.00m,https://www.transfermarkt.com/neymar/profil/spieler/68290,,€30.00m,2,0,{}
Mateo Kovacic,Mateo Kovacic,Unknown,Mateo KovacicCentral Midfield,Unknown club,€30.00m,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,,€30.00m,17,3,{}
Yankuba Minteh,Yankuba Minteh,Unknown,Yankuba MintehRight Winger,Unknown club,€28.00m,https://www.transfermarkt.com/yankuba-minteh/profil/spieler/1012534,,€28.00m,8,1,{}
Hugo Larsson,Hugo Larsson,Unknown,Hugo LarssonCentral Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/hugo-larsson/profil/spieler/931838,,€28.00m,18,3,{}
Danilo,Danilo,Unknown,DaniloDefensive Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/danilo/profil/spieler/808509,,€28.00m,1,0,{}
Mateo Retegui,Mateo Retegui,Unknown,Mateo ReteguiCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/mateo-retegui/profil/spieler/554903,,€28.00m,21,13,{}
Georginio Rutter,Georginio Rutter,Unknown,Georginio RutterCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/georginio-rutter/profil/spieler/538977,,€28.00m,12,2,{}
Josip Stanisic,Josip Stanisic,Unknown,Josip StanisicRight-Back,Unknown club,€28.00m,https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046,,€28.00m,1,0,{}
David Neres,David Neres,Unknown,David NeresRight Winger,Unknown club,€28.00m,https://www.transfermarkt.com/david-neres/profil/spieler/469822,,€28.00m,11,2,{}
Samuele Ricci,Samuele Ricci,Unknown,Samuele RicciDefensive Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/samuele-ricci/profil/spieler/467992,,€28.00m,18,0,{}
Orkun Kökçü,Orkun Kökçü,Unknown,Orkun KökçüCentral Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/454567,,€28.00m,19,4,{}
Angelo Stiller,Angelo Stiller,Unknown,Angelo StillerDefensive Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/angelo-stiller/profil/spieler/443710,,€28.00m,20,1,{}
Matty Cash,Matty Cash,Unknown,Matty CashRight-Back,Unknown club,€28.00m,https://www.transfermarkt.com/matty-cash/profil/spieler/425334,,€28.00m,6,0,{}
Nahuel Molina,Nahuel Molina,Unknown,Nahuel MolinaRight-Back,Unknown club,€28.00m,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,,€28.00m,15,1,{}
Vitaliy Mykolenko,Vitaliy Mykolenko,Unknown,Vitaliy MykolenkoLeft-Back,Unknown club,€28.00m,https://www.transfermarkt.com/vitaliy-mykolenko/profil/spieler/404842,,€28.00m,12,0,{}
Angel Gomes,Angel Gomes,Unknown,Angel GomesAttacking Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/angel-gomes/profil/spieler/392770,,€28.00m,18,1,{}
Emile Smith Rowe,Emile Smith Rowe,Unknown,Emile Smith RoweAttacking Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,,€28.00m,13,3,{}
Yoane Wissa,Yoane Wissa,Unknown,Yoane WissaCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/yoane-wissa/profil/spieler/388165,,€28.00m,10,7,{}
Deniz Undav,Deniz Undav,Unknown,Deniz UndavCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/deniz-undav/profil/spieler/339314,,€28.00m,18,10,{}
Ermedin Demirovic,Ermedin Demirovic,Unknown,Ermedin DemirovicCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/ermedin-demirovic/profil/spieler/335457,,€28.00m,20,7,{}
Denis Zakaria,Denis Zakaria,Unknown,Denis ZakariaDefensive Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526,,€28.00m,13,3,{}
Malcom,Malcom,Unknown,MalcomRight Winger,Unknown club,€28.00m,https://www.transfermarkt.com/malcom/profil/spieler/323704,,€28.00m,14,3,{}
Mathias Jensen,Mathias Jensen,Unknown,Mathias JensenCentral Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/mathias-jensen/profil/spieler/319859,,€28.00m,8,0,{}
Taiwo Awoniyi,Taiwo Awoniyi,Unknown,Taiwo AwoniyiCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/taiwo-awoniyi/profil/spieler/295313,,€28.00m,9,0,{}
Manuel Locatelli,Manuel Locatelli,Unknown,Manuel LocatelliDefensive Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/manuel-locatelli/profil/spieler/265088,,€28.00m,14,0,{}
Joe Gomez,Joe Gomez,Unknown,Joe GomezCentre-Back,Unknown club,€28.00m,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,,€28.00m,7,0,{}
Xaver Schlager,Xaver Schlager,Unknown,Xaver SchlagerCentral Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/xaver-schlager/profil/spieler/223979,,€28.00m,0,0,{}
Stanislav Lobotka,Stanislav Lobotka,Unknown,Stanislav LobotkaDefensive Midfield,Unknown club,€28.00m,https://www.transfermarkt.com/stanislav-lobotka/profil/spieler/192735,,€28.00m,14,0,{}
Luke Shaw,Luke Shaw,Unknown,Luke ShawLeft-Back,Unknown club,€28.00m,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,,€28.00m,0,0,{}
Jan Oblak,Jan Oblak,Unknown,Jan OblakGoalkeeper,Unknown club,€28.00m,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,,€28.00m,19,0,{}
Emiliano Martínez,Emiliano Martínez,Unknown,Emiliano MartínezGoalkeeper,Unknown club,€28.00m,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873,,€28.00m,15,0,{}
Alisson,Alisson,Unknown,AlissonGoalkeeper,Unknown club,€28.00m,https://www.transfermarkt.com/alisson/profil/spieler/105470,,€28.00m,8,0,{}
Aleksandar Mitrović,Aleksandar Mitrović,Unknown,Aleksandar MitrovićCentre-Forward,Unknown club,€28.00m,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152,,€28.00m,20,19,{}
Thiago Almada,Thiago Almada,Unknown,Thiago AlmadaAttacking Midfield,Unknown club,€27.00m,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028,,€27.00m,0,0,{}
Galeno,Galeno,Unknown,GalenoLeft Winger,Unknown club,€27.00m,https://www.transfermarkt.com/galeno/profil/spieler/454121,,€27.00m,17,11,{}
Frank Anguissa,Frank Anguissa,Unknown,Frank AnguissaCentral Midfield,Unknown club,€27.00m,https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361,,€27.00m,14,1,{}
Olivier Boscagli,Olivier Boscagli,Unknown,Olivier BoscagliCentre-Back,Unknown club,€27.00m,https://www.transfermarkt.com/olivier-boscagli/profil/spieler/318508,,€27.00m,16,0,{}
Oscar Gloukh,Oscar Gloukh,Unknown,Oscar GloukhAttacking Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/oscar-gloukh/profil/spieler/930571,,€25.00m,22,5,{}
Arthur Vermeeren,Arthur Vermeeren,Unknown,Arthur VermeerenDefensive Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694,,€25.00m,13,0,{}
